Altium Designer Pick and Place Locations
C:\Users\ekend\Desktop\BMS2_PCB\Project Outputs for BMS_PCB\Pick Place for BMSPowerDistribution.csv

========================================================================================================================
File Design Information:

Date:       06-02-25
Time:       15:20
Revision:   e369a24354e8bdf0f653aaf61f79134fc1bd8f6c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C13","GRM188R61E475KE11D","TopLayer","FP-GRM188-0_15-IPC_C","115.6136","106.2228","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 25V"
"C74","UMK105CG271JV-F","TopLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_B","84.2214","80.6000","0","None"
"U2","LM25116MHX/NOPB","TopLayer","PWP0020A_N","76.0260","76.6536","270","Wide Range Synchronous Buck Controller, 20-pin TSSOP-EP, Pb-Free"
"MP8","501100B00000G","BottomLayer","FP-501100B00000G-MFG","-37.5230","-0.7620","0","HEATSINK 14-DIP/16-DIP"
"MP7","501100B00000G","BottomLayer","FP-501100B00000G-MFG","-37.5230","-0.7620","180","HEATSINK 14-DIP/16-DIP"
"header","SFH11-PBPC-D12-ST-BK","TopLayer","CONN_SFH11-PBPC-D12-ST-BK","78.3800","114.2300","270","No Description Available"
"C50","06035C104KAT4A","TopLayer","CAPC1608X90X35LL15T15","117.0500","91.3000","90",""
"12_ECB","B2B-PH-K-SLFSN","TopLayer","CONN_B2B-PH-K-SLFSN_JST","114.5722","17.8976","90","No Description Available"
"12_E","B2B-PH-K-SLFSN","TopLayer","CONN_B2B-PH-K-SLFSN_JST","108.6032","17.9418","90","No Description Available"
"5_ECB","B2B-PH-K-SLFSN","TopLayer","CONN_B2B-PH-K-SLFSN_JST","84.0152","18.0230","90","No Description Available"
"U3AS","TLV271IDBVR","TopLayer","DBV0005A_M","50.2250","1.9500","0","550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)"
"U17","TLV271IDBVR","TopLayer","DBV0005A_M","8.6500","15.7000","0","550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)"
"U3.3_2","TLV271IDBVR","TopLayer","DBV0005A_M","104.9750","4.1500","0","550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)"
"U20","TLV271IDBVR","TopLayer","DBV0005A_M","31.0516","3.8510","0","550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)"
"U11","TLV271IDBVR","TopLayer","DBV0005A_M","66.0250","2.4500","0","550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)"
