Altium Designer Pick and Place Locations
C:\Users\ekend\Desktop\BMS2_PCB\Project Outputs for BMS_PCB\Pick Place for BMSPowerDistribution.txt

========================================================================================================================
File Design Information:

Date:       04-02-25
Time:       15:04
Revision:   46894f4de9b091e3a33e016fb745eb92cf04f11a
Variant:    No variations
Units used: mil

Designator           Comment               Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                              
Ccomp_4              UMK105CG271JV-F       TopLayer    FP-0402-L_1_0_0_05-W_0_5-IPC_B 3298.088      3173.228      0        None                                                                                                                                     
U2                   LM25116MHX/NOPB       TopLayer    PWP0020A_N                     2975.433      3017.858      270      "Wide Range Synchronous Buck Controller, 20-pin TSSOP-EP, Pb-Free"                                                                       
MP8                  501100B00000G         BottomLayer FP-501100B00000G-MFG           -1495.000     -30.000       0        "HEATSINK 14-DIP/16-DIP"                                                                                                                 
MP7                  501100B00000G         BottomLayer FP-501100B00000G-MFG           -1495.000     -30.000       180      "HEATSINK 14-DIP/16-DIP"                                                                                                                 
Jmicroheader         SFH11-PBPC-D12-ST-BK  TopLayer    CONN_SFH11-PBPC-D12-ST-BK      3068.110      4497.244      270      "No Description Available"                                                                                                               
Crst                 06035C104KAT4A        TopLayer    CAPC1608X90X35LL15T15          4590.551      3594.488      90       ""                                                                                                                                       
"12 V ECB"           B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        4493.000      704.630       90       "No Description Available"                                                                                                               
"12 V Add on"        B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        4258.000      706.370       90       "No Description Available"                                                                                                               
"5.5 V ECB"          B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        3289.968      709.567       90       "No Description Available"                                                                                                               
U3AS                 TLV271IDBVR           TopLayer    DBV0005A_M                     1965.551      88.583        0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U3_MD                TLV271IDBVR           TopLayer    DBV0005A_M                     322.834       618.110       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U3.3_2               TLV271IDBVR           TopLayer    DBV0005A_M                     4115.158      163.386       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2AS                 TLV271IDBVR           TopLayer    DBV0005A_M                     1200.787      86.614        0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2_servo             TLV271IDBVR           TopLayer    DBV0005A_M                     2581.693      96.457        0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2_MD                TLV271IDBVR           TopLayer    DBV0005A_M                     929.134       537.402       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2_mcm               TLV271IDBVR           TopLayer    DBV0005A_M                     3217.520      173.228       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2_fans              TLV271IDBVR           TopLayer    DBV0005A_M                     4665.354      118.110       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
U2_5.5               TLV271IDBVR           TopLayer    DBV0005A_M                     3700.787      157.480       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
R10                  RC0603FR-0710KL       TopLayer    FP-RC0603-0_55-IPC_C           4677.165      4922.177      90       "RES 10K OHM 1% 1/10W 0603"                                                                                                              
"5.5 V addon"        B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        3046.968      709.567       90       "No Description Available"                                                                                                               
"3.3 addon"          B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        3775.591      708.661       90       "No Description Available"                                                                                                               
Dproc                RB521S30T1G           TopLayer    ONSC-SOD-523-2-502-01_V        4783.465      5001.575      270      "Schottky Barrier Diode, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                                          
Cb2servo             GCJ188R72A104KA01D    TopLayer    FP-GCJ188-0_2-IPC_A            2736.220      89.548        270      "Cap Ceramic 0.1uF 100V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R"                                                     
U3.3                 TLV271IDBVR           TopLayer    DBV0005A_M                     4090.551      342.520       0        "550 uA/Ch, 3 MHz, Rail-to-Rail Output Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)" 
"5.5 V"              3568                  TopLayer    FP-3568-MFG                    3925.000      1411.000      270      ""                                                                                                                                       
"Active Suspension"  1720650202            TopLayer    CONN_SD-768290002_02_MOL       1930.709      608.858       180      "No Description Available"                                                                                                               
"Active Suspension"  1720650202            TopLayer    CONN_SD-768290002_02_MOL       1510.236      607.677       180      "No Description Available"                                                                                                               
"Motor Driver"       428192233             TopLayer    CON_428192233                  303.150       1562.992      270      "No Description Available"                                                                                                               
"Motor Driver"       428192233             TopLayer    CON_428192233                  1003.937      1507.874      270      "No Description Available"                                                                                                               
MP4                  9774050482R           TopLayer    9774050482                     236.220       5078.740      180      "9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"                                                                             
MP3                  9774050482R           TopLayer    9774050482                     5078.740      236.220       0        "9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"                                                                             
MP2                  9774050482R           TopLayer    9774050482                     236.220       236.220       0        "9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"                                                                             
MP1                  9774050482R           TopLayer    9774050482                     5078.740      5078.740      0        "9774050482R WA-SMSI SMT Steel Spacer, M4 Internal non Stop"                                                                             
Y2                   MU00525-32.768K       TopLayer    FP-NX3215SA-MFG                3782.843      4253.000      180      "MU00525-32.768K Crystal 32.7680KHZ 6PF SMD"                                                                                             
Y1                   ABM7-25.000MHZ-D2Y-T  TopLayer    FP-ABM7-MFG                    3848.843      4060.000      90       "Crystal 25MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"                                                                                            
Usup                 TLV809EA26DBZR        TopLayer    SOT_26DBZR_TEX-M               4456.693      3811.024      270      "No Description Available"                                                                                                               
SW3                  FSM4JSMA              TopLayer    TECO-FSM4JSMA_V                4334.646      3539.370      270      "Swicth, SPST, 24 V, -35 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                                                     
SW2                  JS102011SCQN          TopLayer    FP-JS102011SCQN-MFG            3405.110      4673.425      270      "SWITCH SLIDE SPDT 300MA 6V"                                                                                                             
Rswitch              RC0603FR-0710KL       TopLayer    FP-RC0603-0_55-IPC_C           5149.606      3177.165      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                              
Rjumper7             CRCW08050000Z0EA      TopLayer    RESC2013X50X30LL20T20          794.291       314.961       0        ""                                                                                                                                       
Rjumper6             CRCW08050000Z0EA      TopLayer    RESC2013X50X30LL20T20          1527.559      232.284       270      ""                                                                                                                                       
Rjumper5             CRCW08050000Z0EA      TopLayer    RESC2013X50X30LL20T20          3980.843      4157.480      270      ""                                                                                                                                       
Rjumper4             CRCW08050000Z0EA      TopLayer    RESC2013X50X30LL20T20          4103.842      4172.480      90       ""                                                                                                                                       
Rjumper3             CRCW08050000Z0EA      TopLayer    RESC2013X50X30LL20T20          3950.843      4307.000      0        ""                                                                                                                                       
Rboot                RC0603FR-0710KL       TopLayer    FP-RC0603-0_55-IPC_C           3303.485      4900.000      0        "RES 10K OHM 1% 1/10W 0603"                                                                                                              
Jrelay               SSQ-101-03-G-S        TopLayer    CON1_1X1_TU_SSQ                1854.331      3925.197      90       "No Description Available"                                                                                                               
"Programming Header" 22-28-4060            TopLayer    FP-22-28-4060-MFG              4986.221      4031.496      0        "CONN HEADER VERT 6POS 2.54MM"                                                                                                           
"3.3 V Logic"        B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        4020.000      706.370       90       "No Description Available"                                                                                                               
"5.5 Logic"          B2B-PH-K-SLFSN        TopLayer    CONN_B2B-PH-K-SLFSN_JST        3532.366      711.169       90       "No Description Available"                                                                                                               
CR15                 SMCJ75A-13-F          TopLayer    SMC_DIO                        1042.236      5078.740      180      "No Description Available"                                                                                                               
Cmic2                06035C104KAT4A        TopLayer    CAPC1608X90X35LL15T15          4602.842      4188.000      270      ""                                                                                                                                       
Ccap                 GRM188R71A225KE15D    TopLayer    FP-GRM188-0_1-e0_2_0_5-MFG     4724.409      4754.921      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 2.2uF, X7R, 15%, 10%, 10V"                                                
Cbp                  GCJ188R72A104KA01D    TopLayer    FP-GCJ188-0_2-IPC_A            1614.173      82.677        0        "Cap Ceramic 0.1uF 100V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R"                                                     
Cbp2                 GCJ188R72A104KA01D    TopLayer    FP-GCJ188-0_2-IPC_A            941.948       326.772       0        "Cap Ceramic 0.1uF 100V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R"                                                     
